;Sélection;;
;;Complexité;
1;Objet homogène;Matériau uniforme (bille, barre);
2;Objet composite;Plusieurs matériaux assemblés (chaise, outil);
3;Mécanisme simple;Pièces mobiles basiques (porte, levier);
4;Système complexe;Multiples composants interdépendants (horloge, serrure);
5;Organisme vivant;Tissus biologiques;
;;Proximité;
1;Objet intime;manipulé tous les jours;au contact de la peau
2;Objet familier;objet spécifique souvent perçu;en ligne de vue directe proche (détails perceptibles)
3;Objet connu;objet commun non-spécifique fréquemment utilisé;en ligne de vue directe lointaine
4;Objet distant;objet dont l’existence est connue;objet dont la localisation est connue
5;Objet inconnu;objet dont l’existence est inconnue (particules et cellules incluses);objet dont la localisation est inconnue
;;Matériel;
1;Solides;Solides;
2;Liquides;Liquides;
3;Gaz;Gaz;
4;Matériaux;Matériaux;
5;Éléments;Éléments;
;;Énergie;
1;Basse;cinétique et température basse, basse densité, faibles rayonnements;
2;Densité;objets denses;
3;Cinétique;objets lourds et/ou rapides;
4;Thermique;objets chauds;
5;Rayonnant;objets émettant des rayonnements spécifiques/particules;
;Interaction;;
;;Mécanique Différentielle;
1;Saisir;Forces multiples aux directions et intensités variables pour les tâches manuelles de base;
2;Cisailler;Forces opposées décalées de part et d’autre d’un plan central;
3;Comprimer;Forces uniformes dirigées vers un point central;
4;Exploser;Forces uniformes opposées à un point central;
5;Manipuler;Forces multiples aux directions et intensités variables pour les tâches minutieuses;
;;Mécanique Microscopique;
1;Répandre;Dispersion contrôlée des éléments constitutifs dans l'espace environnant;
2;Extraire;Isolation et retrait ciblé de composants spécifiques;
3;Osciller;Induction de vibrations ou mouvements périodiques (sons, chaleur);
4;Recombiner;Réarrangement et réassemblage des éléments constitutifs selon de nouvelles configurations;
5;Désintégrer;Rupture complète des liaisons maintenant la cohésion de la matière;
;;Mécanique de Rayonnements;
1;Dévier;Modification de la trajectoire des rayonnements sans altération de leurs propriétés intrinsèques;
2;Diffuser;Dispersion spatiale multidirectionnelle des rayonnements;
3;Moduler;Altération contrôlée des propriétés des rayonnements (fréquence, intensité, phase, polarisation);
4;Absorber;Capture et neutralisation totale ou partielle des rayonnements;
5;Concentrer;Focalisation et intensification spatiale des rayonnements vers un point ou volume réduit;
;;Mécanique Macroscopique;
1;Attirer;Force ramenant l’objet vers la main du parapsy;
2;Lancer;Force unique déplaçant l’objet dans n’importe quelle direction;
3;Mitrailler;Comme « Attirer » et « Lancer » mais avec plusieurs objets dont la sélection est identique;
4;Fixer;Rendre constante la distance entre deux objets sélectionnés;
5;Tordre;Force rotatives autour d’un point central;
;;Mécanique Spatiale;
1;Déformer;Modification des proportions d’un objet selon un ou plusieurs axes (si personne déformée, réduction des distances);
2;Visiter;Sans échange massique équivalent, déplacement éphémère de l’objet dans un lieu sélectionné de la même manière qu’un potentiel objet par la liste « proximité »;
3;Échanger;Avec un échange de masse équivalent, déplacement définitif;
4;Grouper;Listes précédentes possibles avec plusieurs objets dont la sélection est identique;
5;Disparaître;Accès au non-espace, transport possible via les options précédentes dans une dimension où le temps ne se déroule pas. Définitif impossible car pas de matière à échanger sur place;
;Application;;
;;Intensité;
1;Analyse;Force minimale à visée diagnostique et exploratoire;
2;Faible;Force de manipulation délicate;
3;Moyenne;Force d'usage courant et contrôlé;
4;Forte;Force d'impact significatif et d'effet marqué;
5;Brutale;Force maximale aux effets destructeurs;
;;Temporalité;
1;Force éphémère;L’interaction s’arrête après un laps de temps;
2;Force continue;L’interaction est maintenue tant que le parapsy est concentré;
3;Force instantanée;Pic d'énergie unique très bref;
4;Force libre;s’allume et s’éteint au gré du parapsychologies, sans test supplémentaire;
5;Force définitive;Pas de limite temporelle (parapsy conscient);
;;Déclenchement;
1;Déclenchement immédiat;Base, déclenchement au moment où la faculté est conçue;
2;Déclenchement retardé;Déclenchement après durée déterminée;
3;Déclenchement séquentiel;Activation synchronisée de plusieurs effets;
4;Déclenchement simultané;Activation planifiée de plusieurs effets;
5;Déclenchement automatique;Activation conditionnelle lors d'un événement spécifique (contact, proximité, etc.);
;;Source;
1;Énergie personnelle;Le corps du Parapsy fournit l’énergie via ses muscles;
2;Énergie relative; L’énergie est copiée d’un autre objet (même propriétés);
3;Énergie transformée;L’énergie provient du corps du parapsy ou d’un second objet, mais les directions peuvent être contrôlées (conversion des propriétés);
4;Énergie multiple;L’énergie provient de plusieurs corps physiques;
5;Énergie psychique;La totalité de l’énergie est issue de la psyché du parapsy, aucune copie d’objet réel n’est nécessaire;
