;Détection;;
;;Trace;
1;Personne proche;Connaissance intime;
2;Personne connue;Souvenir d’interactions passée, informations biométriques de base;
3;Personne aperçue;Personne connue de visu, ou de réputation;
4;Étranger;Aucune relation préalable;
5;À l’aveugle;Pas de certitude sur la présence de la personne;
;;Complexité;
1;Conscience proche;Esprit similaire à celui d’un être humain éveillé;
2;Conscience éloignée;Esprit conscient différent de celui d’un être humain (grands primates, non-humains conscients);
3;Conscience limitée;Esprit réduit, conscience non réfléchie (mammifères);
4;Conscience passive;Esprit supérieur (humain, grand primate) en état léthargique (sommeil, coma);
5;Conscience basique;Esprit très limité (animaux) ou esprit réduit (mammifères) en état léthargique (sommeil, coma);
;;Multiplicité;
1;Cible unique;1 cible;
2;Paire;2 cibles;
3;Groupe;Max INTELLIGENCE cibles;
4;Foule;Max 5 x INTELLIGENCE cibles;
5;Population;Sans limite de nombre;
;;Distance;
1;Dialogue établi;Attention directe réciproque entre la cible et le parapsy;Contact physique
2;Individu perçu;Attention indirecte ou unilatérale entre la cible et le parapsy;Dans un rayon de VOLONTÉ mètres
3;Distance limitée;Attention indirecte et unilatérale entre la cible et le parapsy;Dans un rayon de 10 x VOLONTÉ mètres
4;Longue distance;Ignorance sensorielle réciproque entre la cible et le parapsy;Dans un rayon de VOLONTÉ kilomètres
5;Distance illimitée;Ignorance existentielle réciproque entre la cible et le parapsy;Sans limite de distance
;Accès;;
;;Système Nerveux Sensoriel;PERCEPTION
1;Sens primaire conscient ;Vue active, sons entendus;Système Nerveux pour action impliquant la Caractéristique
2;Sens secondaire conscient;Toucher, goût, odorat, proprioception;Système Nerveux
3;Imagination sensorielle;Images mentales, sons imaginés;Malus de Qualité associée la Caractéristique
4;Immersion sensorielle;Contrôle sensoriel sur le sens de la réalité;Bonus de Qualité associée la Caractéristique
5;Perception subliminale;Stimuli sous le seuil de conscience;Valeur de la Caractéristique
;;Système Limbique;ÉMOTION
1;Émotions de surface;Ce que la cible ressent consciemment maintenant;Système Nerveux pour action impliquant la Caractéristique
2;Émotions primaires;Peur, joie, colère, tristesse;Système Nerveux
3;Émotions complexes;Jalousie, nostalgie, fierté, honte;Malus de Qualité associée la Caractéristique
4;États affectifs profonds;Attachement, trauma, désir inconscient;Bonus de Qualité associée la Caractéristique
5;Architecture émotionnelle;Tempérament, patterns affectifs fondamentaux;Valeur de la Caractéristique
;;Système Cognitif;FONCTION
1;Pensées destinées;Ce que la cible veut communiquer;Système Nerveux pour action impliquant la Caractéristique
2;Dialogue intérieur;Pensées verbales conscientes;Système Nerveux
3;Mémoire récente;Souvenirs des dernières heures/jours;Malus de Qualité associée la Caractéristique
4;Mémoire profonde;Souvenirs anciens, refoulés, fragmentés;Bonus de Qualité associée la Caractéristique
5;Logique inconscients;Logique sous-jacente, biais, conditionnements;Valeur de la Caractéristique
;;Système Nerveux Moteur;ADRESSE
1;Intention motrice consciente;Mouvements que la cible planifie;Système Nerveux pour action impliquant la Caractéristique
2;Grands muscles volontaires;Bras, jambes, torse;Système Nerveux
3;Petits muscles volontaires;Doigts, yeux, bouche;Malus de Qualité associée la Caractéristique
4;Muscles semi-autonomes;Respiration, déglutition;Bonus de Qualité associée la Caractéristique
5;Muscles autonomes;Cœur, digestion, pupilles;Valeur de la Caractéristique
;;Système Ethéré;
1;Information identitaire;Sans information spécifique, image relative;pour comparaison
2;Couverture spatiale;Image de la taille des ailes;Accès aux informations parapsychiques (alpha, beta, gamma)
3;Réponse fréquentielle;Couleur des ailes;Accès aux informations génétiques (mutations, métanthropies)
4;Extrémités individuelles;Image précise des contours des arborescences;Accès à la mémoire génétique (historique des aïeux, états symbiotiques)
5;Structure génétique;Image précise de l’ensemble des ailes;Accès aux noeuds individuels, pour les modifications complexes
;Action;;
;;Analyse;
1;Constat binaire;Présent/absent, vrai/faux, actif/inactif;
2;Observation d'état;Intensité, qualité générale;
3;Observation de contenu;Détails spécifiques, nuances;
4;Cartographie structurelle;Relations entre éléments, patterns;
5;Analyse archéologique;Reconstruction de l'historique, origines;
;;Influence;
1;Suggestion simple;Idée unique, claire, non-contraignante;
2;Activation;Déclenchement basique pouvant impliquer un effort momentané;
3;Suggestion complexe;Idée nuancée, conditionnelle;
4;Occulter;Rendre une information temporairement inaccessible;
5;Modification durable;Implanter un changement;
;;Attaque;
1;Distraction;Briser la concentration, créer du bruit;
2;Engourdir;Ralentir un processus;
3;Empêcher;Bloquer une action/pensée spécifique;
4;Surcharge;Saturer un système;
5;Détruire;Dommages permanents;
;;Protection;
1;Isoler;Créer une barrière contre influences externes;
2;Renforcer;Amplifier une capacité/résistance existante;
3;Stabiliser;Calmer un état perturbé, restaurer l'équilibre;
4;Réparer;Guérir un trauma psychique, restaurer une mémoire;
5;Restructurer;Reconfigurer profondément des patterns mentaux;
