;item_type;name;description;description_alt;quantitative_effect;
0;mode;télépathie;Discipline permettant de détecter les esprits, d'accéder à certains de leurs sous-systèmes et d'effectuer des actions sur ces derniers. De la même manière qu'un individu peut agir sur ses propres pensées, son corps, ses souvenirs, etc, le télépathe a un contrôle plus profond et qui peut s'étendre à d'autres esprits que le sien;;;
1;list;Détection;Détection de la conscience de créatures biologiques. La distance, à la fois littérale que figurative, le nombre des individus détectés, ainsi que la nature des esprits viennent influer sur la capacité du télépathe à les détecter. Détecter un esprit de cette manière ne donne aucune information supplémentaire sur sa position géographique.;;;
2;sublist;Trace;Proximité figurative entre le télépathe et sa cible, comparable à l'importance de l'individu dans le paysage psychologique du télépathe;;;
3;0;Soi-même;Le Télépathe agit sur sa propre conscience.;;;
4;1;Personne proche;Le Télépathe connaît sa cible personnellement, il a en mémoire une large variété de souvenirs et de détails à propos de cette dernière. ;;;
5;2;Personne connue;Le Télépathe connaît sa cible pour l’avoir côtoyée, sans avoir beaucoup d’informations sur sa personnalité ou sa vie.;;;
6;3;Personne aperçue;Le Télépathe n’a jamais directement interagit avec sa cible, ou très brièvement, mais dispose d’informations basiques à son propos (apparence, nom, etc.).;;;
7;4;Étranger;Le Télépathe n'a aucune information relative à sa cible, il sait seulement qu’elle existe.;;;
8;5;À l’aveugle;Le Télépathe détecte les consciences sans avoir besoin de savoir qu’elles sont présentes.;;;
9;sublist;Complexité;Proximité structurelle entre la conscience du parapsy et celle de sa cible, similarité entre le fonctionnement des deux types de pensées;;;
10;0;Conscience propre;Le Télépathe agit sur sa propre conscience.;Le Télépathe agit sur sa propre conscience.;;
11;1;Conscience proche;Le Télépathe détecte uniquement les consciences similaires à la sienne, soit des individus de la même espèce.;Le Télépathe détecte uniquement les consciences éveillées et non-dissimulées.;;
12;2;Conscience éloignée;Le Télépathe peut aussi détecter des consciences réfléchies légèrement éloignées (grands primates, non-humains évolués, individus aux conditions psychologiques majeures, etc.).;Le Télépathe détecte aussi les consciences dissimulées;;
13;3;Conscience limitée;Le Télépathe peut aussi détecter des esprits animaux supérieurs (grands mammifères, pieuvres, etc.).;Le Télépathe détecte aussi les consciences en sommeil léger;;
14;4;Conscience étroite;Le Télépathe peut aussi détecter des esprits animaux inférieurs (tous mammifères, reptiles, etc.).;Le Télépathe détecte aussi les consciences en sommeil profond;;
15;5;Conscience basique;Le Télépathe peut détecter n’importe quel entité qui dispose d’un système nerveux (insectes, mollusques, etc.).;Le Télépathe détecte aussi les consciences léthargiques;;
16;sublist;Multiplicité;Quantité des cibles, reflète la nécessité de diviser son attention pour détecter plusieurs esprits;;;
17;0;Cible interne;Le Télépathe agit sur sa propre conscience.;;;
18;1;Cible unique;Le Télépathe détecte un maximum de 1 conscience.;;;
19;2;Paire;Le Télépathe détecte un maximum de 2 consciences.;;;
20;3;Groupe;Le Télépathe détecte un maximum de consciences égal à sa valeur d’INTELLIGENCE.;;;
21;4;Foule;Le Télépathe détecte un maximum de consciences égal à 5 fois sa valeur d’INTELLIGENCE.;;;
22;5;Population;Le Télépathe détecte des consciences sans limite de nombre.;;;
23;sublist;Distance;proximité sensorielle ou littérale entre le télépathe et sa cible, vient représenter l'importance immédiate de la cible dans le paysage physique du télépathe;;;
24;0;Distance nulle;Le Télépathe agit sur sa propre conscience.;Le Télépathe agit sur sa propre conscience.;;
25;1;Dialogue établi;Le Télépathe détecte la conscience de sa cible si les deux dirigent leur attention l’un vers l’autre (réciproque directe) (contact visuel réciproque direct, discussion non-téléphonique, etc.).;Le Télépathe a besoin d’un contact physique directe pour détecter la conscience de sa cible.;;
26;2;Individu perçu;Le Télépathe détecte la conscience de sa cible si elle lui prête attention (réciproque indirecte) OU s’il la perçoit directement (unilatérale directe).;Le Télépathe a besoin d’être dans un rayon de VOLONTÉ mètres autour de sa cible pour la détecter.;;
27;3;Distance limitée;Le Télépathe a seulement besoin de percevoir sa cible pour détecter sa conscience (unilatérale indirecte).;Le Télépathe a besoin d’être dans un rayon de 10 fois VOLONTÉ mètres autour de sa cible pour la détecter.;;
28;4;Longue distance;Le Télépathe a seulement besoin d’avoir la certitude de la présence de sa cible, pas de la percevoir (ignorance sensorielle).;Le Télépathe a besoin d’être dans un rayon de VOLONTÉ kilomètres autour de sa cible pour la détecter.;;
29;5;Distance illimitée;Le Télépathe peut détecter sa cible sans avoir besoin de savoir qu’elle est présente et sans la percevoir (ignorance sensorielle).;Le Télépathe détecte des consciences sans limite de distance.;;
30;list;Accès;Accès aux différents niveaux de l'arborescence des systèmes nerveux. Certains composants son plus proches de la surface de l'esprit, tandis que d'autres sont enfouis profondément;;;
31;sublist;Système Nerveux Sensoriel;Partie du système nerveux responsable de la détection, transmission et traitement initial des informations sensorielles provenant de l'environnement externe et interne;;;
32;0;Conscience de surface;Le Télépathe n'a pas besoin de cet Accès, soit parce que sa pertinence est nulle, soit parce que sa pertinence est négligeable par rapport à celle d’un autre Accès, soit parce que le Télépathe n’a besoin que de vérifier que sa cible existe.;;;
33;1;Système périphérique;Le Télépathe accède aux récepteurs sensoriels et à leur fonctionnement, permettant d’agir sur la conversion de stimuli extérieurs en signaux nerveux.;;Système Nerveux pour action impliquant la Caractéristique;
34;2;Circuits réflexes;Le Télépathe peut agir sur les réflexes musculaires immédiats, donnant accès aux sens de la proprioception de l’équilibre.;;Système Nerveux;
35;3;Cortex sensoriel;Le Télépathe peut influer sur la compréhension immédiate des informations perçues, l’organisation des stimuli permettant l’identification de motifs simples.;;Malus de Qualité associée la Caractéristique;
36;4;Immersion multisensorielle;Le Télépathe a accès aux mécanismes d’intégration des informations sensorielles, et peut agir sur les déductions immédiates complexes. Cela englobe partiellement le sens de la réalité.;;Bonus de Qualité associée la Caractéristique;
37;5;Conscience du réel;Le Télépathe a accès à la totalité des mécanismes permettant à la cible de percevoir le monde réel.;;Valeur de la Caractéristique;
38;sublist;Système Limbique;Partie du système nerveux jouant un rôle central dans les émotions, la motivation et les comportements instinctifs;;;
39;0;Conscience de surface;Le Télépathe n'a pas besoin de cet Accès, soit parce que sa pertinence est nulle, soit parce que sa pertinence est négligeable par rapport à celle d’un autre Accès, soit parce que le Télépathe n’a besoin que de vérifier que sa cible existe.;;;
40;1;Émotions primaires;Le Télépathe accède aux systèmes responsables des réponses basiques aux stimuli comme la peur, la joie ou la colère.;;Système Nerveux pour action impliquant la Caractéristique;
41;2;Émotions complexes;Le Télépathe accède aux systèmes responsables des réponses complexes aux stimuli comme la jalousie, tristesse, fierté, honte, etc.;;Système Nerveux;
42;3;Traitement motivationnel;Le Télépathe accède au centre de la récompense, qui commande les processus décisionnels;;Malus de Qualité associée la Caractéristique;
43;4;Structure sociale;Le Télépathe peut agir sur la compréhension et l’expression d’affects sociaux complexes.;;Bonus de Qualité associée la Caractéristique;
44;5;Architecture émotionnelle;Le Télépathe peut agir sur l’identité émotionnelle et sociale de sa cible, tous les paramètres psychologiques issus de son expérience.;;Valeur de la Caractéristique;
45;sublist;Système Cognitif;Partie du système nerveux permettant le traitement, le stockage et l'utilisation de l'information pour la pensée abstraite, le raisonnement et l'adaptation intelligente;;;
46;0;Conscience de surface;Le Télépathe n'a pas besoin de cet Accès, soit parce que sa pertinence est nulle, soit parce que sa pertinence est négligeable par rapport à celle d’un autre Accès, soit parce que le Télépathe n’a besoin que de vérifier que sa cible existe.;Le Télépathe a seulement accès à la surface de l’esprit de sa cible, cela ne permet que de vérifier qu’elle existe.;;
47;1;Pensées destinées;Le Télépathe n’a accès qu’aux pensées que sa cible est délibérément en train de lui adresser.;Le Télépathe n’a accès qu’aux pensées que sa cible est délibérément en train de lui adresser.;Système Nerveux pour action impliquant la Caractéristique;
48;2;Cognition immédiate;Le Télépathe peut accéder au fil de pensées de sa cible, son attention instantanée.;Le Télépathe a accès à la permanence de l’objet.;Système Nerveux;
49;3;Raisonnement basique;Le Télépathe atteint les mécanismes spontanés du langage et de la planification.;Le Télépathe a accès aux souvenirs des dernières heures la cible.;Malus de Qualité associée la Caractéristique;
50;4;Fonction profonde;Le Télépathe atteint les mécanismes conscients et calculés du langage et de la planification.;Le Télépathe a accès à tous les souvenirs de la cible auxquels elle peut accéder elle-même.;Bonus de Qualité associée la Caractéristique;
51;5;Logique inconsciente;Le Télépathe a accès à la totalité des fonctions de raisonnement de la cible, y compris ses biais cognitifs et sa prise de décision.;Le Télépathe a accès à la mémoire corporelle et aux souvenirs fragmentés, refoulés.;Valeur de la Caractéristique;
